id,user_id,category_id,amount,description,date,created_at
001b3a1e-eb95-4660-9f7e-5368bf82465f,8fda9f64-eb6d-4edf-96f2-0e92076e1607,f3bccc52-435d-4fec-bb68-8ce687e665eb,78,Electricity,2025-12-07,2026-03-23 12:36:40.550609+00
01c8937f-9067-47ed-8de1-68bb6aeecf0b,8fda9f64-eb6d-4edf-96f2-0e92076e1607,dfe79feb-8e63-4016-9994-706f81570549,265,Dinner,2026-01-29,2026-03-24 15:40:06.105203+00
01d1f95a-8bea-46fa-9ae4-19cd4c8c7c67,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,100,Auto,2026-03-27,2026-03-24 15:48:59.062415+00
0481e8f8-6751-411a-bbaa-205da4f20314,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,100,Auto,2026-01-30,2026-03-24 15:48:21.825061+00
04821bda-4f1e-45ca-9769-74cd7a9b042f,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,100,Auto,2025-11-28,2026-03-24 15:47:18.801908+00
04a4ae19-fa28-42f1-8ab1-bdb9df652890,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,100,Auto,2026-03-26,2026-03-24 15:48:59.062415+00
04cc14bc-f278-4697-adcd-fb4e532964bc,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,44,Auto,2025-10-15,2026-03-24 15:39:33.088394+00
05539214-c6b5-4be0-9114-48d7c22a4250,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,47,Auto,2025-12-02,2026-03-24 15:39:33.088394+00
07256a67-bc57-47df-9be4-9ea1812b4a76,8fda9f64-eb6d-4edf-96f2-0e92076e1607,dfe79feb-8e63-4016-9994-706f81570549,111,Lunch,2025-11-29,2026-03-24 15:40:06.105203+00
07d292f4-2bc6-433a-822f-34a3823a9d5e,8fda9f64-eb6d-4edf-96f2-0e92076e1607,dfe79feb-8e63-4016-9994-706f81570549,70,Snacks,2025-12-07,2026-03-24 15:31:22.708467+00
08bdd688-1c97-4f30-a546-d16db95a5fcb,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,100,Auto,2025-11-12,2026-03-24 15:47:18.801908+00
0929c324-e3fd-4477-b5bf-0c14ee8a5c80,8fda9f64-eb6d-4edf-96f2-0e92076e1607,dfe79feb-8e63-4016-9994-706f81570549,216,Lunch,2026-02-23,2026-03-24 15:40:06.105203+00
0b09822a-1d98-41d2-bb9b-bc07ea9dbba2,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,100,Auto,2026-03-13,2026-03-24 15:48:59.062415+00
0ba1db2b-4ea5-48d6-bef8-13f03203be80,8fda9f64-eb6d-4edf-96f2-0e92076e1607,dfe79feb-8e63-4016-9994-706f81570549,194,Lunch,2025-11-21,2026-03-24 15:40:06.105203+00
0bf71819-41fb-498d-9542-83b296a9da23,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,100,Auto,2025-10-15,2026-03-24 15:46:45.906116+00
0defb4d7-a76c-4f75-8639-4d40024933b6,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,100,Auto,2026-01-10,2026-03-24 15:48:21.825061+00
0e3a2ef6-2721-480a-b9f3-b38d30655e51,8fda9f64-eb6d-4edf-96f2-0e92076e1607,3e320471-accc-4b94-b4e6-1a2d853d51a1,15.99,Netflix,2025-10-06,2026-03-23 12:36:40.550609+00
0e747764-f994-448a-98d5-876245a28612,8fda9f64-eb6d-4edf-96f2-0e92076e1607,dfe79feb-8e63-4016-9994-706f81570549,9.2,Snacks,2025-11-15,2026-03-23 12:36:40.550609+00
0f0b90d8-6009-4035-9a52-15c129b2200d,8fda9f64-eb6d-4edf-96f2-0e92076e1607,dfe79feb-8e63-4016-9994-706f81570549,103,Dinner,2026-01-01,2026-03-24 15:40:06.105203+00
110046f3-0669-4f0d-89e8-55ea05dd35ee,8fda9f64-eb6d-4edf-96f2-0e92076e1607,9d500dc7-0fc5-47b5-bf3b-1d5f57982793,100,Auto,2025-10-18,2026-03-24 15:46:45.906116+00
1169e35d-2fd9-4837-b107-a97c8adcf445,8fda9f64-eb6d-4edf-96f2-0e92076e1607,dfe79feb-8e63-4016-9994-706f81570549,279,Lunch,2025-10-09,2026-03-24 15:40:06.105203+00
